date,nba_on_the_day,nba_day_before,nba_one_week_out,nba_two_weeks_out,nba_one_month_out,nba_two_months_out
2025-01-28,0.0,0.0,0.0,0.0,0.0,13.0
2025-01-29,11.0,11.0,12.0,14.0,14.0,15.0
2025-01-30,0.0,0.0,0.0,,0.0,1.0
2025-01-31,13.0,1.0,0.0,0.0,0.0,1.0
2025-02-01,21.0,14.0,4.0,11.0,15.0,21.0
2025-02-02,22.0,20.0,0.0,0.0,0.0,12.0
2025-02-03,27.0,27.0,2.0,3.0,3.0,1.0
2025-02-04,27.0,25.0,0.0,0.0,7.0,10.0
2025-02-05,23.0,22.0,0.0,0.0,10.0,11.0
2025-02-06,23.0,25.0,1.0,0.0,0.0,0.0
2025-02-07,26.0,26.0,0.0,1.0,1.0,7.0
2025-02-09,28.0,28.0,1.0,0.0,3.0,11.0
2025-02-10,27.0,28.0,11.0,6.0,12.0,13.0
2025-02-11,25.0,25.0,16.0,0.0,0.0,13.0
2025-02-12,25.0,25.0,15.0,2.0,12.0,11.0
2025-02-13,28.0,25.0,18.0,0.0,,12.0
2025-02-14,24.0,25.0,18.0,1.0,6.0,11.0
2025-02-15,21.0,25.0,25.0,9.0,17.0,22.0
2025-02-16,18.0,22.0,23.0,1.0,3.0,12.0
2025-02-17,15.0,20.0,15.0,2.0,0.0,12.0
2025-02-18,10.0,20.0,13.0,2.0,2.0,10.0
2025-02-19,14.0,15.0,14.0,12.0,10.0,14.0
2025-02-20,12.0,12.0,4.0,0.0,0.0,13.0
2025-02-21,11.0,13.0,4.0,0.0,0.0,0.0
2025-02-22,15.0,13.0,5.0,0.0,5.0,18.0
2025-02-23,3.0,4.0,6.0,0.0,0.0,13.0
2025-02-24,10.0,10.0,14.0,2.0,1.0,11.0
2025-02-25,10.0,11.0,14.0,3.0,0.0,0.0
2025-02-26,1.0,2.0,11.0,3.0,2.0,5.0
2025-02-27,0.0,2.0,1.0,1.0,0.0,12.0
2025-02-28,2.0,0.0,1.0,0.0,0.0,21.0
2025-03-01,16.0,18.0,17.0,20.0,20.0,25.0
2025-03-02,0.0,0.0,3.0,1.0,3.0,14.0
2025-03-03,0.0,0.0,1.0,0.0,0.0,11.0
2025-03-04,0.0,0.0,2.0,0.0,4.0,21.0
2025-03-05,3.0,5.0,1.0,0.0,3.0,15.0
2025-03-06,3.0,1.0,1.0,1.0,0.0,12.0
2025-03-07,0.0,0.0,1.0,0.0,0.0,14.0
2025-03-09,0.0,0.0,0.0,1.0,0.0,21.0
2025-03-10,6.0,8.0,11.0,11.0,10.0,11.0
2025-03-11,8.0,13.0,0.0,1.0,1.0,10.0
2025-03-12,6.0,8.0,0.0,0.0,1.0,9.0
2025-03-14,0.0,0.0,0.0,11.0,0.0,5.0
2025-03-15,12.0,12.0,12.0,13.0,13.0,19.0
2025-03-16,2.0,2.0,5.0,7.0,11.0,19.0
2025-03-17,0.0,0.0,1.0,0.0,0.0,10.0
2025-03-18,1.0,1.0,2.0,2.0,1.0,16.0
2025-03-19,0.0,2.0,1.0,2.0,6.0,13.0
2025-03-20,1.0,1.0,6.0,2.0,3.0,2.0
2025-03-21,,0.0,0.0,0.0,0.0,10.0
2025-02-08,27.0,25.0,11.0,13.0,,
2025-03-22,,,13.0,11.0,20.0,20.0
2025-03-23,,,0.0,1.0,10.0,14.0
2025-03-24,,,0.0,1.0,0.0,2.0
2025-03-25,,,1.0,1.0,0.0,14.0
2025-03-26,,,10.0,10.0,10.0,13.0
2025-03-27,,,5.0,9.0,12.0,21.0
2025-03-28,,,,1.0,0.0,18.0
2025-03-29,,,,13.0,11.0,18.0
2025-03-30,,,,1.0,3.0,15.0
2025-03-31,,,,8.0,0.0,11.0
2025-04-01,,,,5.0,11.0,21.0
2025-04-02,,,,5.0,10.0,21.0
2025-04-03,,,,8.0,12.0,16.0
2025-04-04,,,,,10.0,11.0
2025-03-08,1.0,1.0,11.0,11.0,20.0,
2025-04-05,,,,,12.0,12.0
2025-04-06,,,,,10.0,20.0
2025-04-07,,,,,9.0,10.0
2025-04-08,,,,,4.0,9.0
2025-04-09,,,,,0.0,0.0
2025-03-13,0.0,0.0,10.0,10.0,1.0,
2025-04-10,,,,,0.0,5.0
2025-04-11,,,,,14.0,23.0
2025-04-12,,,,,22.0,27.0
2025-04-13,,,,,21.0,24.0
2025-04-14,,,,,0.0,10.0
2025-04-15,,,,,9.0,20.0
2025-04-16,,,,,13.0,25.0
2025-04-17,,,,,4.0,23.0
2025-04-18,,,,,,21.0
2025-04-19,,,,,,23.0
2025-04-20,,,,,,22.0
2025-04-21,,,,,,8.0
2025-04-22,,,,,,0.0
2025-04-23,,,,,,15.0
2025-04-24,,,,,,25.0
2025-04-25,,,,,,22.0
2025-04-26,,,,,,22.0
2025-04-27,,,,,,21.0
2025-04-28,,,,,,8.0
2025-04-29,,,,,,23.0
2025-04-30,,,,,,27.0
2025-05-01,,,,,,20.0
2025-05-02,,,,,,25.0
2025-05-03,,,,,,23.0
2025-05-04,,,,,,26.0
2025-05-05,,,,,,25.0
2025-05-06,,,,,,17.0
