date,nba_on_the_day,nba_day_before,nba_one_week_out,nba_two_weeks_out,nba_one_month_out,nba_two_months_out
2025-02-03,38.0,32.0,7.0,10.0,20.0,29.0
2025-02-04,34.0,34.0,0.0,0.0,6.0,9.0
2025-02-05,36.0,31.0,1.0,5.0,4.0,11.0
2025-02-06,35.0,35.0,6.0,1.0,3.0,23.0
2025-02-07,36.0,34.0,14.0,10.0,22.0,40.0
2025-02-09,36.0,36.0,14.0,11.0,19.0,38.0
2025-02-10,37.0,36.0,16.0,8.0,14.0,29.0
2025-02-11,35.0,32.0,14.0,6.0,12.0,10.0
2025-02-12,39.0,37.0,7.0,0.0,1.0,14.0
2025-02-13,29.0,37.0,13.0,4.0,,29.0
2025-02-14,26.0,27.0,19.0,11.0,17.0,19.0
2025-02-15,22.0,25.0,28.0,23.0,28.0,41.0
2025-02-16,19.0,27.0,22.0,4.0,6.0,27.0
2025-02-17,12.0,19.0,17.0,3.0,9.0,30.0
2025-02-18,12.0,6.0,16.0,2.0,9.0,35.0
2025-02-19,17.0,21.0,19.0,9.0,11.0,23.0
2025-02-20,13.0,14.0,11.0,8.0,14.0,35.0
2025-02-21,5.0,5.0,9.0,4.0,5.0,30.0
2025-02-22,19.0,19.0,26.0,16.0,12.0,33.0
2025-02-23,14.0,16.0,21.0,11.0,13.0,26.0
2025-02-24,16.0,17.0,17.0,7.0,13.0,28.0
2025-02-25,8.0,10.0,10.0,2.0,3.0,14.0
2025-02-26,0.0,7.0,13.0,13.0,9.0,20.0
2025-02-27,7.0,7.0,20.0,18.0,20.0,32.0
2025-02-28,12.0,11.0,20.0,23.0,22.0,34.0
2025-03-01,14.0,14.0,18.0,20.0,31.0,36.0
2025-03-02,7.0,10.0,16.0,14.0,18.0,28.0
2025-03-03,10.0,10.0,20.0,19.0,17.0,28.0
2025-03-04,3.0,4.0,13.0,18.0,15.0,21.0
2025-03-05,6.0,7.0,19.0,19.0,22.0,28.0
2025-03-06,11.0,12.0,17.0,12.0,18.0,30.0
2025-03-07,3.0,6.0,9.0,17.0,23.0,36.0
2025-03-09,1.0,1.0,5.0,8.0,13.0,22.0
2025-03-10,16.0,17.0,23.0,27.0,25.0,35.0
2025-03-11,0.0,0.0,5.0,9.0,13.0,26.0
2025-03-12,3.0,4.0,9.0,12.0,19.0,29.0
2025-03-14,9.0,10.0,27.0,30.0,33.0,40.0
2025-03-15,23.0,27.0,35.0,35.0,38.0,43.0
2025-03-16,26.0,27.0,31.0,21.0,25.0,30.0
2025-03-17,1.0,2.0,5.0,6.0,20.0,23.0
2025-03-18,1.0,1.0,12.0,8.0,20.0,24.0
2025-03-19,0.0,5.0,10.0,8.0,20.0,21.0
2025-03-20,6.0,5.0,15.0,24.0,30.0,31.0
2025-03-21,,4.0,10.0,13.0,22.0,27.0
2025-02-08,38.0,37.0,13.0,10.0,,
2025-03-22,,,23.0,28.0,32.0,32.0
2025-03-23,,,22.0,22.0,27.0,33.0
2025-03-24,,,13.0,13.0,21.0,37.0
2025-03-25,,,14.0,14.0,18.0,27.0
2025-03-26,,,12.0,19.0,23.0,33.0
2025-03-27,,,15.0,18.0,23.0,36.0
2025-03-28,,,,18.0,27.0,40.0
2025-03-29,,,,17.0,26.0,31.0
2025-03-30,,,,25.0,29.0,38.0
2025-03-31,,,,18.0,31.0,39.0
2025-04-01,,,,17.0,22.0,30.0
2025-04-02,,,,19.0,24.0,27.0
2025-04-03,,,,29.0,27.0,30.0
2025-04-04,,,,,40.0,41.0
2025-03-08,8.0,9.0,14.0,19.0,23.0,
2025-04-05,,,,,29.0,22.0
2025-04-06,,,,,25.0,28.0
2025-04-07,,,,,28.0,31.0
2025-04-08,,,,,23.0,18.0
2025-04-09,,,,,24.0,38.0
2025-03-13,9.0,10.0,12.0,17.0,22.0,
2025-04-10,,,,,31.0,37.0
2025-04-11,,,,,21.0,26.0
2025-04-12,,,,,29.0,30.0
2025-04-13,,,,,35.0,38.0
2025-04-14,,,,,35.0,40.0
2025-04-15,,,,,21.0,24.0
2025-04-16,,,,,29.0,31.0
2025-04-17,,,,,35.0,37.0
2025-04-18,,,,,,24.0
2025-04-19,,,,,,30.0
2025-04-20,,,,,,29.0
2025-04-21,,,,,,31.0
2025-04-22,,,,,,31.0
2025-04-23,,,,,,34.0
2025-04-24,,,,,,37.0
2025-04-25,,,,,,37.0
2025-04-26,,,,,,42.0
2025-04-27,,,,,,44.0
2025-04-28,,,,,,42.0
2025-04-29,,,,,,33.0
2025-04-30,,,,,,35.0
2025-05-01,,,,,,36.0
2025-05-02,,,,,,36.0
2025-05-03,,,,,,42.0
2025-05-04,,,,,,42.0
2025-05-05,,,,,,40.0
2025-05-06,,,,,,30.0
2025-05-07,,,,,,43.0
2025-05-08,,,,,,44.0
2025-05-09,,,,,,42.0
2025-05-10,,,,,,42.0
2025-05-11,,,,,,39.0
2025-05-12,,,,,,41.0
2025-05-13,,,,,,34.0
2025-05-14,,,,,,35.0
2025-05-15,,,,,,35.0
2025-11-02,0.0,,,,,
2025-11-03,0.0,3.0,,,,
